allocation_id,UUID,contract_id,minerID,volume_MWh,defaulted,step4_ZL_contract_complete,step5_redemption_data_complete,step6_attestation_info_complete,step7_certificates_matched_to_supply,step8_IPLDrecord_complete,step9_transaction_complete,step10_volta_complete,step11_finalRecord_complete
20210831_EW_PL_transaction_1_allocation_1,7098e2fe-bb20-4d63-b0f4-17240be6f48d,20210831_EW_PL_transaction_1_contract_1,f01045784,1,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_2,1575fd69-73f8-4522-a888-48d5335c2857,20210831_EW_PL_transaction_1_contract_1,f0728347,1,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_3,1b268c19-7309-43d6-8803-aa55f2eb3120,20210831_EW_PL_transaction_1_contract_1,f0678914,18,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_4,1b89fade-9090-49da-b7b3-247460cbfa20,20210831_EW_PL_transaction_1_contract_1,f0763337,108,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_5,9ba42d4d-0e54-49f9-a517-98318a57e0a2,20210831_EW_PL_transaction_1_contract_1,f0828066,14,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_6,feb47302-9d7d-4815-835c-b34a8e873c1e,20210831_EW_PL_transaction_1_contract_1,f01051828,20,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_7,c269b3b8-6ab5-4ecd-9b94-8f8130cfdd43,20210831_EW_PL_transaction_1_contract_1,f022142,24,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_8,5f12ce66-ceba-47fd-9cc8-b44864e9afdf,20210831_EW_PL_transaction_1_contract_1,f066596,83,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_9,685d055e-a896-42b2-877c-1b6498279dde,20210831_EW_PL_transaction_1_contract_1,f01278,18,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_10,,20210831_EW_PL_transaction_1_contract_2,f022142,1,1,0,0,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_11,,20210831_EW_PL_transaction_1_contract_2,f066596,28,1,0,0,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_12,,20210831_EW_PL_transaction_1_contract_2,f01278,2,1,0,0,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_13,67f6aa92-aab3-4e3a-975d-e056ca8325be,20210831_EW_PL_transaction_1_contract_3,f01234,96,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_14,21ca7b75-86e1-4539-b3af-e6ce40f4d11f,20210831_EW_PL_transaction_1_contract_3,f0720636,93,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_15,0ad8720f-90fd-416a-8b23-2f8b4db66e48,20210831_EW_PL_transaction_1_contract_3,f02576,29,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_16,036f19fe-5a3b-476d-8162-57770da4c938,20210831_EW_PL_transaction_1_contract_4,f01051178,168,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_17,dbb6cec0-32b3-4e0b-b725-41143035fbfc,20210831_EW_PL_transaction_1_contract_5,f01234,2,0,0,1,0,0,0,0,0,0
20210831_EW_PL_transaction_1_allocation_18,377d1433-81f9-4bfd-bf2f-6422f640aaae,20210831_EW_PL_transaction_1_contract_5,f02576,6,0,0,0,0,0,0,0,0,0
