"attestation_id","attestation_file","attestation_cid","certificate","certificate_cid","reportingStart","reportingStartTimezoneOffset","reportingEnd","reportingEndTimezoneOffset","sellerName","sellerAddress","country","region","volume_Wh","generatorName","productType","label","energySource","generationStart","generationStartTimezoneOffset","generationEnd","generationEndTimezoneOffset"
"20220501_ACT_PL_transaction_1_attestation_32","ACT-API-2022-1010-2314-40-4395424183.pdf","bafkreif2en2pu44odhuzxtkbedmj4yrhu33jmgdtidvxitwslkesb3kmge","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_1","bafyreiampkq33afdlvmfhan5ionluwz2uvgkyhfkzyzzyg3ia2gs5lklki","2020-01-01",480,"2020-12-31",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,16705000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_1523","ACT-API-2022-1010-2314-42-2159781608.pdf","bafkreict6rt37ybqtt6pw557g6b2limlta5ene3q4tslv5smmnfiyoz26e","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_2","bafyreih6aoduitinol5cajhwjw47l57av75qkicvei433cz3244n7dmzg4","2021-07-01",480,"2021-09-30",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,11437000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_554","ACT-API-2022-1010-2314-43-2043432184.pdf","bafkreihqpmuax5q5dla6glrs6qwss7wvpqvo7cfxrebp7ap7rwx7dhmaoq","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_3","bafyreihzqm2iyfrchfc7fncbohw7qozajrr3dqlvfk73jkywhe7wndrxn4","2021-01-04",480,"2021-06-30",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,11170000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_1164","ACT-API-2022-1010-2314-44-2164618313.pdf","bafkreife5j4ghdyjzgbygwgbo7vaufkptcprlutmc55m2xoa6u74swkpai","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_4","bafyreie5zg3pkuugh2hffdoccfiyuyf4xncqcknoknsohxppdjx53wjnqu","2021-07-01",480,"2021-09-30",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,10695000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_1174","ACT-API-2022-1010-2314-45-2304937244.pdf","bafkreidqvjvhs35bghnfn3vr56mnej5xxle5oublnzgcgxhniqxarshyda","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_5","bafyreidd4njej4v3dt6fomqeb6gny3lhorzn4k2q74tnk4fe6gghst5rjm","2021-07-01",480,"2021-09-30",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,9484000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_2618","ACT-API-2022-1010-2314-46-2196228109.pdf","bafkreicgml4vdwf6qjbbdfjp2j6pizqoxl625vm6etprjw7ok6coadqf3i","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_6","bafyreibmdepubbt5dp6e2tutpzepcazxgklvmm53yufu4kbjg2qeepls74","2021-10-01",480,"2021-12-31",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,9200000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_1325","ACT-API-2022-1010-2314-47-2460692678.pdf","bafkreigiebnj3zdjrpualsiccbtbs5dvxeky3ka5qajkai5lhyv3uwqody","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_7","bafyreigfywd73poejzdivhjg2gdz3qoondc3adq756o5qqamzhqd2tp65q","2021-07-01",480,"2021-09-30",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,7808000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_1033","ACT-API-2022-1010-2314-48-2233069127.pdf","bafkreifsyasmbqkc7pbn2mdt5xexp4bz5ex3ihv7glsoo2xnloomprggoi","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_8","bafyreidnr7nrsjsa22x4cvk6ttevhy3fhs7bhe5tgpplxlfo7bruwi3awi","2021-01-04",480,"2021-06-30",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,7704000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_47","ACT-API-2022-1010-2314-49-2194305283.pdf","bafkreif4mgzzanfxq2p2yzrxljvkt5hxz77ouauw7lumla5h5kqvja76je","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_9","bafyreiac4ucad3qj7kmgcw4qdtco6ehtjnvaigroa5wrjpzjppwbrdkjtm","2020-01-01",480,"2020-12-31",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,7493000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
"20220501_ACT_PL_transaction_1_attestation_2212","ACT-API-2022-1010-2314-50-2422711077.pdf","bafkreifzrexmrvhgpklz4mdtrbxqnciezbohrzeqrhuqn6nzasdfwsw62e","20220511_ACT_PL_transaction_1_delivery_2_data_certificate_10","bafyreidynem6zjlnehollu5aer3s6bzogw5clprrfannrshpqvc74rkh7i","2021-10-01",480,"2021-12-31",480,"ACT Commodities Inc.","437 Madison Ave. Suite 17A, New York, NY, 10022, USA","CN",,7196000000,"Hami Santanghu Phase 2 Wind Farm","IREC",,"wind","2020-01-01",480,"2020-05-28",480
