"allocation_id","UUID","contract_id","minerID","volume_MWh","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete"
"20221024_SouthPole_FF_transaction_1_allocation_1",381eb569-404b-49f0-b309-7cc3ff9d9a2c,"20221024_SouthPole_FF_transaction_1_contract_1","f0401300",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_2",4d941361-8a18-44cc-bba5-fa7f2ade5241,"20221024_SouthPole_FF_transaction_1_contract_1","f0118330",8,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_3",62cd8e68-10b2-46b4-8dcb-ea8030653e78,"20221024_SouthPole_FF_transaction_1_contract_1","f01033119",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_4",047441a0-e5f9-4f92-a9c5-5cfa0ecc30ef,"20221024_SouthPole_FF_transaction_1_contract_1","f0112027",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_5",3b98e419-7cef-44bf-af08-8a2f0a511031,"20221024_SouthPole_FF_transaction_1_contract_1","f010277",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_6",07ca6bc7-45ef-4371-a7e5-c255a8460c98,"20221024_SouthPole_FF_transaction_1_contract_1","f0113664",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_7",1c3a4c74-0177-479a-919c-0413ee92a52d,"20221024_SouthPole_FF_transaction_1_contract_1","f0146428",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_8",e9370213-64a5-40e7-9f02-e6c78973a6d4,"20221024_SouthPole_FF_transaction_1_contract_1","f01239166",2,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_9",1b57835f-cfbf-44bc-9e9b-6261b825cfa8,"20221024_SouthPole_FF_transaction_1_contract_2","f0401300",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_10",0809de49-f2d2-4b00-9477-d2b5b7adc717,"20221024_SouthPole_FF_transaction_1_contract_2","f0118330",29,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_11",f550e060-2783-4219-9ad2-a5ff0275f112,"20221024_SouthPole_FF_transaction_1_contract_2","f01033119",2,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_12",3dbc503e-7d9f-466f-891c-6949b5df3fde,"20221024_SouthPole_FF_transaction_1_contract_2","f01289763",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_13",96f7de6a-4c00-4859-b634-1bfe590e4e5b,"20221024_SouthPole_FF_transaction_1_contract_2","f01410857",12,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_14",cea4bf6b-8d22-4e07-993e-ef136444b9af,"20221024_SouthPole_FF_transaction_1_contract_2","f0112027",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_15",fa1eaa02-32cc-4585-8156-1d8c45f088c0,"20221024_SouthPole_FF_transaction_1_contract_2","f010277",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_16",176e732c-82ae-4ed3-803c-322f3b1586f4,"20221024_SouthPole_FF_transaction_1_contract_2","f0113664",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_17",5261395e-27b8-4165-a68f-227814cec535,"20221024_SouthPole_FF_transaction_1_contract_2","f0146428",2,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_18",fd768aa4-3dd4-4ad7-b550-0f7ebdca90dc,"20221024_SouthPole_FF_transaction_1_contract_2","f01239166",5,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_19",94d356fa-8949-4108-8902-97b8ff30a792,"20221024_SouthPole_FF_transaction_1_contract_3","f010479",13,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_20",f3be2f5f-26c9-4ef0-b303-2501894c8de9,"20221024_SouthPole_FF_transaction_1_contract_3","f0401300",1,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_21",5c2d378c-0bf4-4e32-a534-92b48d58d81f,"20221024_SouthPole_FF_transaction_1_contract_3","f0118330",34,0,0,0,0,0,0,0,0,0
"20221024_SouthPole_FF_transaction_1_allocation_22",ee2105e8-a61a-4df8-be08-e61013701320,"20221024_SouthPole_FF_transaction_1_contract_3","f01033119",1,0,0,0,0,0,0,0,0,0
