"attestation_id","attestation_file","attestation_cid","certificate","certificate_cid","reportingStart","reportingStartTimezoneOffset","reportingEnd","reportingEndTimezoneOffset","sellerName","sellerAddress","country","region","volume_Wh","generatorName","productType","label","energySource","generationStart","generationStartTimezoneOffset","generationEnd","generationEndTimezoneOffset"
"20220207_SP_PL_transaction_1_attestation_1","20220429_SP_delivery_1.pdf","bafkreie5lyvlbecjv5skk6mojlqlm2ldfy2xcbslp6b45jz3mc2t42oj5a","20220429_SP_delivery_1_certificate_1","bafyreieqz7bvcrxrzvkznnsapphlaxycuye4k3jobgpd3ym3m5ygteg7sq","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,16000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_10","20220429_SP_delivery_10.pdf","bafkreiayu4k3zkwtkezjbhwei6ys63xnmjszmpsjymorvjkrcis5fhmmmi","20220429_SP_delivery_10_certificate_10","bafyreidpyuserss2lw573cfk7spo6a5ltj2ysqf2iigar2tvx6eiwax5ge","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,1797000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_100","20220429_SP_delivery_100.pdf","bafkreiadfahqaujbyoxyoln4axjlb5klr6qqsomngz72sh5umnuxnb7q3e","20220429_SP_delivery_100_certificate_100","bafyreihhw7x2j62eu72dwpvdownykfzedjv3d56havd7rqz76fsrw52p6y","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,42000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_101","20220429_SP_delivery_101.pdf","bafkreihssaoe4nhfpm3h5yp2rolf2f7sfmodsgzpoh3s6i5gdrykjbihby","20220429_SP_delivery_101_certificate_101","bafyreibcgrrr3hpgwsinedt523vvcjajzmfdmxglelismphyizsfm3umnm","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,45000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_102","20220429_SP_delivery_102.pdf","bafkreiaab3fut2eqyx4gvxtylfuruweae2jd4mdte7sjio7dtvqlwwlox4","20220429_SP_delivery_102_certificate_102","bafyreig57bem3g5qgchoirpy6v5ucc4wgkqspnro6kzvpz6nskizvnu7ne","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,46000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_103","20220429_SP_delivery_103.pdf","bafkreifuqgccyqb6ly2k5bil7uviplgaildo74way77dthfyk62owt6bem","20220429_SP_delivery_103_certificate_103","bafyreihtxjvg4za3wvusbhfqmifmqejy5xr4bojejkdg3q542smnsvvomq","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,48000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_104","20220429_SP_delivery_104.pdf","bafkreihw2wwrfhivsvpfvetcqesiu5a2gk5sjle2ol7wwbtuevlqaf3qem","20220429_SP_delivery_104_certificate_104","bafyreiepqa74a2ze7c53abng5475eaa5lcc5mz237jiakd2gmhpynis7eu","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,4000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_105","20220429_SP_delivery_105.pdf","bafkreigvchknutmlfsra6ol4de7g7nctmfe62ywwcivwgxohi4i2paqd44","20220429_SP_delivery_105_certificate_105","bafyreianpyj5ksg4uz743zuw2aisz25yrxtzdbuuotkwhvdqya7aazozay","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,4000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_106","20220429_SP_delivery_106.pdf","bafkreicxaifntkvrszp4fzk2gmnw5ysgyyo6zy5xisucaejf37kv3a7g3a","20220429_SP_delivery_106_certificate_106","bafyreihiphmwer3trkpams3wbcchvhkyje2zdfyqwvoea636s5h6rbb3qq","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,4000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
"20220207_SP_PL_transaction_1_attestation_107","20220429_SP_delivery_107.pdf","bafkreihazdw5giwtizzbs3ddgtxgyilxhmelkdtf4bseuo6gjkj57dkzba","20220429_SP_delivery_107_certificate_107","bafyreicpzalf2dchzgojwh3j2u2mrpf7eibhap2iopyj3xhjewla4j2oca","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480,"SP Impact Pte Ltd ","2 Kallang Sector, SP Group Building, Singapore 349277","CN",,5000000,"Longli Jia Tuo Mountain Windfarm","IREC",,"wind","2021-04-01T00:00:00.000Z",480,"2021-06-30T23:59:59.999Z",480
